test_case,input_vertices,peak_memory_mb
rectangle_with_two_holes,12,6.5000
cushion_with_hexagonal_hole,22,6.1250
blob_with_two_holes,36,7.1250
wavy_with_three_holes,43,7.2500
lake_with_two_islands,81,8.2500
original_01,1860,6.7773
original_02,8605,11.8828
original_03,74559,56.9844
original_04,6733,11.3164
original_05,6230,11.1250
original_06,14122,17.2617
original_07,10596,12.9336
original_08,6850,11.2500
original_09,409998,228.6719
original_10,9899,12.0781
many_holes,108,6.3750
dense_outer,400,5.8750
narrow_corridor,8,8.0000
nested_rings,120,7.1250
large_with_many_holes,148,6.5586
