test_case,input_vertices,wall_time_s,peak_memory_mb
rectangle_with_two_holes,12,0.023247,6.3750
cushion_with_hexagonal_hole,22,0.029006,6.0000
blob_with_two_holes,36,0.048193,7.1250
wavy_with_three_holes,43,0.055019,7.2500
lake_with_two_islands,81,1.194741,8.1250
original_01,1860,0.093797,6.7773
original_02,8605,0.551281,11.8867
original_03,74559,2.236438,56.8281
original_04,6733,0.790624,11.3203
original_05,6230,0.359540,11.1211
original_06,14122,0.291153,17.1250
original_07,10596,0.198295,12.8242
original_08,6850,0.388069,11.2500
original_09,409998,44.918353,228.3633
original_10,9899,0.619885,12.0781
many_holes,76,0.049798,8.1250
dense_outer,400,0.029957,5.8750
narrow_corridor,8,0.028695,7.8750
nested_rings,120,2.349314,7.0000
large_with_many_holes,148,18.083412,6.5781
